Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
24900,25000,20800,22950,23880,23245,22420,21627.5,10813.75,2403879,773718.6,563831.4,384951.5,397751.67,198875.83,91.87,1236098,429.1,191.1,1350,1319.92,-0.4607,-0.2722,0.8,0.5974,48.21,58.24,0.5931,0.6241
22950,23150,21950,22700,23740,23355,22445,22005.83,11002.92,571987,848115,596358.2,403484.6,407284.78,203642.39,76.02,664111,360.21,224.93,1750,1405.93,-0.5169,-0.3945,0.7,0.6103,46.76,55.94,0.6277,0.6248
23000,23150,22450,22650,23490,23410,22477.5,22383.33,11191.67,231482,797502.6,592096.4,405373.15,411142.82,205571.41,75.4,432629,298.15,239.57,1550,1434.75,-0.5281,-0.4613,0.6,0.609,49.55,54.66,0.6148,0.6228
22700,22950,22150,22950,23250,23405,22505,22410,11382.92,291251,795748,551999.7,407762.55,408870.97,207998.5,76.43,723880,270.05,245.67,1900,1527.8,-0.4607,-0.461,0.6,0.6079,46.26,52.98,0.6357,0.6254
22800,22800,21250,21600,22570,23245,22492.5,22425,11562.92,688852,837490.2,593457.3,431455.55,413405.57,213738.93,69.33,35028,137.27,223.99,700,1362.24,-0.8095,-0.6353,0.5,0.5944,43.17,51.02,0.5427,0.6089
21600,21750,20250,21100,22200,23040,22452.5,22451.67,11738.75,548686,466451.6,620085.1,452345.35,414863.83,218311.32,60.27,-513658,-8.21,177.55,-500,989.79,-0.8211,-0.7282,0.5,0.5826,38.65,48.55,0.4688,0.5808
21200,22200,20900,22200,22100,22920,22482.5,22489.17,11923.75,264634,404981,626548,457382.7,415810.22,220516.6,66.9,-249024,-34.34,135.17,100,811.83,-0.5895,-0.6588,0.5,0.5723,38.56,46.55,0.5058,0.5658
21600,22550,21550,22300,22030,22760,22550,22520,12109.58,226882,404061,600781.8,449071.4,416826.75,222407.28,76.53,-22142,-46.45,98.85,-700,509.47,-0.5684,-0.6136,0.5,0.5632,34.5,44.14,0.4551,0.5437
22350,23000,21850,22100,21860,22555,22600,22555,12293.75,208859,387582.6,591665.3,451575.8,417772.35,224147.78,70.51,-231001,-71.37,64.8,-1100,187.57,-0.6105,-0.6121,0.4,0.5428,33.83,42.08,0.4295,0.5208
21900,22300,21600,21600,21860,22215,22627.5,22565.83,12473.75,109269,271666,554578.1,447877.3,413239.93,225058.35,71.51,-340270,-129.96,25.85,-1550,-159.94,-0.7158,-0.6639,0.3,0.5125,30.61,39.78,0.4061,0.4979
21600,22000,20950,21750,21990,22095,22670,22578.33,12655,171299,196188.6,331320.1,447575.75,412608.15,226485.84,77.42,-168971,-162.41,-11.8,-1650,-457.95,-0.6842,-0.6741,0.4,0.4984,27.85,37.4,0.3988,0.4781
21700,22450,21550,21700,21890,21995,22675,22593.33,12835.83,161833,175628.4,290304.7,443331.45,412593.52,227834.45,70.27,-330804,-189.98,-47.44,-2200,-806.36,-0.6947,-0.6844,0.4,0.4861,23.98,34.71,0.3571,0.4539
21700,22100,21350,21700,21770,21900,22655,22600,13016.67,108947,152041.4,278051.2,435073.8,410560.3,228742.34,65.37,-330804,-209.42,-79.83,-2450,-1135.09,-0.6947,-0.6896,0.4,0.4753,24.77,32.72,0.3356,0.4302
21600,21900,21500,21700,21690,21775,22590,22616.67,13197.5,81888,126647.2,257114.9,404557.3,408253.22,229424.74,52.59,-330804,-222.26,-108.32,-3300,-1568.07,-0.6947,-0.6922,0.3,0.4534,17.87,29.75,0.25,0.3942
21700,21800,20750,21500,21670,21765,22505,22604.17,13376.67,166931,138179.6,204922.8,399190.05,397206.2,230815.83,45.97,-497735,-245.74,-135.8,-1450,-1544.46,-0.569,-0.6306,0.3,0.4342,28.81,29.56,0.3474,0.3848
21250,21450,20600,21400,21600,21795,22417.5,22563.33,13555,223270,148573.8,172381.2,396233.15,369634.8,232676.42,46.47,-721005,-269.31,-162.5,-1300,-1495.57,-0.6034,-0.617,0.3,0.4175,31.92,30.04,0.3587,0.3796
21050,21350,20200,20250,21310,21600,22260,22495.83,13723.75,384988,193204.8,184416.6,405482.3,363704.63,235884.65,39.93,-1105993,-376.45,-205.29,-2400,-1676.45,-0.9821,-0.7996,0.2,0.3903,24.14,28.86,0.2895,0.3616
20250,21050,20250,20750,21120,21445,22102.5,22445,13896.67,246688,220753,186397.2,393589.5,356892.33,237940.38,35.83,-859305,-416.21,-247.48,-2200,-1781.16,-0.8036,-0.8016,0.2,0.3665,31.23,29.33,0.3136,0.352
20800,20950,20150,20600,20900,21295,21925,22389.17,14068.33,228833,250142,188394.6,390029.95,354832.1,239847.33,29.49,-1088138,-454.59,-288.9,-1000,-1624.93,-0.8421,-0.8218,0.2,0.3457,36.07,30.68,0.3936,0.3603
20750,21100,20400,21000,20800,21235,21725,22356.67,14243.33,247676,266291,202235.3,378406.7,353391.12,241911.29,25.63,-840462,-447.57,-320.63,-100,-1319.94,-0.7018,-0.7618,0.3,0.34,48.43,34.23,0.4891,0.3861
21450,21750,21050,21300,20780,21190,21642.5,22321.67,14420.83,233706,268378.2,208476,269898.05,352712.17,243858.84,49.1,-606756,-413.03,-339.11,-900,-1235.96,-0.5965,-0.6791,0.3,0.335,47.77,36.94,0.3816,0.3852
21450,22700,21350,22550,21240,21275,21635,22315.83,14608.75,504956,292371.8,242788.3,266546.5,356550.32,248066.81,74.88,-101800,-281.55,-327.6,250,-938.76,-0.1579,-0.4185,0.4,0.3431,52.68,40.09,0.5253,0.4132
22400,22650,21950,22000,21490,21305,21602.5,22265,14792.08,232481,289530.4,255141.7,266596.45,345499.92,250004.15,74.85,-334281,-219.21,-305.92,-100,-771.01,-0.2745,-0.3465,0.4,0.3502,49.07,41.88,0.4906,0.4287
22150,22450,21300,21450,21660,21280,21527.5,22220,14970.83,170070,277777.8,263959.9,260537.4,334113.92,251421.4,61.85,-504351,-211.74,-287.09,-150,-646.81,-0.4902,-0.4184,0.4,0.3564,48.04,43.11,0.486,0.4401
21600,21750,20900,21050,21670,21235,21500,22177.5,15146.25,168462,261935,264113,234517.9,328065.08,252825.25,73.77,-672813,-235.39,-276.75,-700,-657.45,-0.6471,-0.5327,0.4,0.3619,48.13,44.12,0.4375,0.4396
21650,21650,20500,20800,21570,21175,21485,22138.33,15319.58,208828,256959.4,262668.8,217525,325727.83,254565.48,84.4,-881641,-271.17,-275.63,-900,-705.96,-0.7451,-0.6389,0.4,0.3666,41.88,43.67,0.4224,0.4362
20800,20950,17850,17850,20630,20935,21267.5,22062.5,15468.33,1216416,399251.4,345811.6,265114.1,339063.9,264702.28,48.29,-2098057,-531.45,-326.79,-3850,-1334.77,-1,-0.8195,0.4,0.3708,31.59,41.25,0.28,0.4049
18000,18750,17950,18250,19880,20685,21065,21985.83,15620.42,376511,428057.4,358793.9,272595.55,338909.4,267839.88,52.47,-1721546,-697.4,-400.92,-3450,-1757.81,-0.9175,-0.8685,0.4,0.3745,29.77,38.96,0.3115,0.3862
18300,18850,18250,18500,19290,20475,20885,21916.67,15774.58,275785,449200.4,363489.1,275941.85,340026.35,270138.08,63.92,-1445761,-799.53,-480.64,-3000,-2006.25,-0.866,-0.8672,0.5,0.3902,34.91,38.15,0.337,0.3764
18550,18550,16550,17450,18570,20120,20677.5,21818.33,15920,1224485,660405,461170,331702.65,357089.42,280342.13,48.01,-2670246,-954.2,-575.35,-3950,-2395,-0.8537,-0.8604,0.4,0.3914,29.46,36.41,0.3054,0.3622
17800,18750,17400,18600,18130,19850,20520,21735.83,16075,631936,745026.6,500993,354734.5,361958.02,285608.26,58.29,-2038310,-972.76,-654.83,-1650,-2246,-0.6667,-0.7636,0.4,0.3925,38.91,36.91,0.4187,0.3735
18800,19250,18200,18400,18240,19435,20355,21650.83,16228.33,323295,566402.4,482826.9,362807.6,364392.6,288302.38,56.27,-2361605,-992.17,-722.3,-2350,-2266.8,-0.6992,-0.7314,0.3,0.3809,39.41,37.41,0.3807,0.3749
18400,19150,18400,18750,18340,19110,20207.5,21590.83,16384.58,278506,546801.4,487429.4,371285.55,364647.27,290623.27,61.82,-2083099,-968.16,-771.47,-1850,-2183.44,-0.6423,-0.6868,0.4,0.3833,43.89,38.71,0.408,0.3815
18700,18700,18200,18650,18370,18830,20055,21530,16540,182542,528152.8,488676.6,376318.25,363063.95,292144.45,59.1,-2265641,-946.28,-806.43,-2350,-2216.75,-0.6585,-0.6727,0.4,0.3854,39.92,38.95,0.3795,0.3811
18800,18850,17800,17900,18460,18515,19875,21469.17,16689.17,303897,344035.2,502220.1,383166.55,363812.58,294676.93,57.44,-2569538,-978.19,-840.79,-3400,-2453.4,-0.7805,-0.7266,0.4,0.3872,35.23,38.21,0.3333,0.3716
17900,18150,17650,17850,18310,18220,19697.5,21405.83,16837.92,223369,262321.8,503674.2,383171.5,360741.92,296538.33,57.44,-2792907,-996.03,-871.84,-4700,-2902.72,-0.7869,-0.7567,0.4,0.3888,26.88,35.94,0.2389,0.345
17800,17950,17100,17200,18070,18155,19545,21295,16981.25,301023,257867.4,412134.9,378973.25,349956.8,299046.86,58.44,-3093930,-1050.51,-907.57,-4800,-3282.18,-0.8898,-0.8233,0.4,0.3902,25.59,33.87,0.2363,0.3233
17400,17950,17350,17850,17890,18115,19400,21209.17,17130,239628,250091.8,398446.6,378620.25,347019.45,301043.76,58.3,-2854302,-1029.37,-931.93,-3600,-3345.74,-0.75,-0.7866,0.4,0.3914,29.33,32.96,0.3043,0.3195
18300,18550,17800,17950,17750,18060,19267.5,21130.83,17279.58,390181,291619.6,409886.2,386687.65,349018.92,304295.27,69.79,-2464121,-993.1,-944.17,-3100,-3296.59,-0.7255,-0.7561,0.4,0.3925,34.68,33.31,0.3258,0.3208
17900,18350,17900,18100,17790,18125,19122.5,21070.83,17430.42,281022,287044.6,315539.9,388354.95,347218.08,306637.12,70.52,-2183099,-941.4,-943.61,-2700,-3177.27,-0.6477,-0.7019,0.5,0.4059,38.94,34.43,0.3466,0.3259
17900,18550,17850,18400,17900,18105,18977.5,21013.33,17583.75,345940,311558.8,286940.3,393966.65,349605.4,309519.95,72.99,-1837159,-866.23,-928.14,550,-2431.82,-0.3148,-0.5084,0.5,0.4177,52.12,37.97,0.5447,0.3697
18400,18500,17550,17550,17970,18020,18727.5,20935.83,17730,206223,292598.8,275233.1,379030,349687.03,311238.47,59.22,-2043382,-865.28,-915.56,-700,-2085.46,-0.6296,-0.569,0.5,0.428,53.9,41.16,0.447,0.3851
17650,17950,17100,17250,17850,17870,18490,20856.67,17873.75,209129,286499,268295.4,377862.4,349944,312981.22,59.51,-2252511,-878.6,-908.17,-1250,-1918.36,-0.7407,-0.6549,0.4,0.4245,49.23,42.77,0.406,0.3893
17250,17900,16750,17800,17820,17785,18307.5,20780,18022.08,191004,246663.6,269141.6,378909.1,349069.68,314572.92,65.91,-2061507,-835.15,-893.57,350,-1464.69,-0.58,-0.6174,0.5,0.4339,65.72,47.36,0.5285,0.4171
17800,18250,17700,18200,17840,17815,18165,20719.17,18173.75,115960,213651.2,250347.9,376284,347419.15,315539.25,71.07,-1945547,-759.68,-866.79,-400,-1251.75,-0.42,-0.5187,0.6,0.4547,60.73,50.03,0.463,0.4263
18150,18150,17600,17700,17700,17800,18010,20649.17,18321.25,138440,172151.2,241855,372764.6,347544.98,316692.92,72.22,-2083987,-731.78,-839.79,-700,-1141.4,-0.6042,-0.5614,0.6,0.4728,54.43,50.91,0.4386,0.4288
17700,18500,17650,18100,17810,17890,18022.5,20590.83,18472.08,282902,187487,240042.9,326088.9,349528.57,319050.43,109.54,-1801085,-669.68,-805.77,-650,-1043.12,-0.3571,-0.4593,0.7,0.5012,54.35,51.6,0.4435,0.4317
18150,18700,18100,18650,18090,17970,18042.5,20552.5,18627.5,224203,190501.8,238500.4,318473.5,346713.48,320918.79,104.65,-1576882,-569.51,-758.52,0,-834.5,-0.0952,-0.2773,0.7,0.5261,60.37,53.35,0.5,0.4454
18950,18950,18150,18500,18230,18025,18042.5,20509.17,18781.67,167888,185878.6,216271.1,313078.65,346865.43,322317.86,90.88,-1744770,-496.51,-706.11,600,-547.6,-0.2045,-0.2409,0.6,0.5353,68.04,56.29,0.5536,0.467
18300,18600,18050,18450,18280,18060,18092.5,20465.83,18935.42,169795,196645.6,205148.4,260344.15,346641.37,323732.82,133.95,-1914565,-437.65,-652.42,600,-318.08,-0.2273,-0.2341,0.5,0.5309,69.06,58.84,0.5536,0.4843
