Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
23150,85200,177000,35350,83700,36900,86500,152500,56500,156000,61700,5620,395500,25950,88300,137500,35150,70100,3145,552000,35250,7530,375500,26800,8630,54200,45800,194000,122500,31750,208000,25450,71300,72100,18400,4895,53400,136500,41600,6450,5080,250000,35400,369000,132000,163500,11350,28850,115000,33800,35350,50200,319000,74100,30500,516000,1323000,24550,14200,23650,802000,25500,324500,281000,22950,224500,12350,80400,46300,11300,23650,17300,28100,3580,106000,12100,8250,78200,74500,49700,9130,170500,208000,28800,19500,85000,105500,203500,69200,89300,173000,128000,133000,233000,124500,27500,755000,87700,25650
23150,85000,179000,34800,82400,36700,87100,150500,53300,160500,62200,5700,403500,26250,89000,141500,35250,70400,3185,558000,35250,7720,385500,27000,8800,54100,45900,195500,124500,33000,209500,25750,73800,72600,18600,4895,52300,138000,42300,6420,5140,251500,35850,373000,132000,165500,11250,28650,117000,33900,35700,51300,322000,74100,30500,532000,1341000,25050,14300,24050,811000,25500,329500,284000,23200,230000,12750,80800,46550,11600,23850,17650,28300,3615,108000,12300,8250,79400,76000,50800,9260,173500,211500,29000,19400,85000,107000,211500,70500,89000,174500,127000,134000,236000,125500,27200,775000,89100,25550
23600,86500,183000,35600,83200,35800,89500,155000,52500,164500,63000,5780,398500,26400,90800,142000,34600,70800,3290,561000,36000,8040,388000,27700,9020,54700,46950,197500,118500,31300,213500,27150,73300,73200,19100,4945,53700,142500,42900,6385,5170,245000,36200,371000,135000,167500,11350,28900,117000,35100,36100,51300,321500,75000,30450,527000,1383000,25050,14600,24150,861000,25800,318000,270000,23900,235500,12900,81800,47950,12100,24100,17700,28550,3680,111000,12450,8350,80300,77500,49850,9460,177500,214500,29600,19800,85700,106500,211000,67400,89400,180500,128500,135000,237000,126000,26800,790000,93500,25200
23400,87200,183500,35300,84100,36700,90000,161500,51600,171000,63000,5970,369000,27100,93000,136500,34950,72000,3305,561000,36250,7980,387000,27250,8890,55300,47000,191500,121500,31800,216000,26700,74500,72200,19450,4950,54900,142000,42400,6480,5210,246000,36700,376500,125000,171000,11450,29900,122000,35500,35900,50500,321500,74900,30400,531000,1385000,24700,14300,24350,859000,25750,316000,270000,24800,233500,13100,82300,47350,12150,24100,18050,28350,3695,110000,12550,8260,81100,78300,50300,9430,180000,215500,29900,19800,85900,109000,217000,68200,89100,175000,127000,139500,240000,129000,27600,750000,98400,25150
23850,88000,182000,35700,82200,38000,91800,161500,51000,161000,62500,5640,363500,25550,90100,131000,35000,70300,3250,563000,36650,7710,378500,27500,8780,54200,46450,187500,121500,31550,214500,26300,75600,71800,18050,4945,54100,139000,41200,6470,5190,248500,36900,376000,122500,165000,11450,29550,125500,35800,35600,48300,323000,76000,30450,511000,1321000,24400,14250,23250,859000,25950,310000,263000,25000,231000,12650,83100,46950,12300,24150,18150,28550,3630,107500,12250,8330,80000,80100,50000,9500,180500,216500,29050,19950,88200,105000,224000,67000,89300,175000,127500,136500,239500,129500,25600,739000,93900,25200
23850,87800,185500,34950,82900,36800,88900,160000,50800,165000,63300,5690,368000,23900,89400,131000,35400,71300,3285,567000,36700,7910,383500,27250,8870,54400,47950,186500,117500,31300,215500,23900,76400,72200,18100,4960,54800,141000,42300,6515,5180,249000,35650,380000,124500,165000,11400,28000,114000,36250,36000,48650,328000,75700,29750,516000,1345000,24450,14100,23450,880000,26100,325000,276000,24400,234000,12600,82400,46750,12250,24300,17950,28750,3705,110000,12300,8200,80600,76400,50500,9700,180500,217000,29250,19750,87700,105000,220500,67600,87500,176500,129000,138000,241000,126500,25550,743000,97000,25700
23600,88200,185000,35350,82700,35300,89400,163000,51100,163500,63900,5760,364500,23700,91000,127000,35700,72000,3185,571000,36850,7570,386000,27850,8750,53800,49150,186500,110000,31450,217000,23600,75800,73400,18200,4940,54700,144500,42350,6460,5210,251000,35950,384000,124500,165000,11450,28050,110500,36450,35900,47750,315000,74500,30050,523000,1339000,24700,14150,23900,879000,26150,322000,273000,24250,236000,12750,83700,47050,12250,24450,17850,28750,3740,109500,12400,8290,81700,74000,50900,9420,179000,218000,28700,19600,87500,106000,213000,67700,89000,178000,128000,137000,240000,124000,25450,732000,97400,25350
22700,88900,180500,34700,83000,35200,87000,161000,51400,169000,63500,5750,369000,24000,91000,130000,34400,70500,3150,575000,36800,7400,393000,27150,8580,54700,47950,186500,109000,31350,210000,22400,77400,73600,17500,4960,53300,140000,43350,6525,5160,237500,35650,392500,123500,162000,11400,27800,110500,36550,35750,46000,316000,74900,29800,544000,1350000,24350,14350,23750,928000,26300,337500,286500,24000,237000,12700,80700,46350,12300,24700,17750,28700,3750,111000,12650,8260,80700,70900,51500,9510,183000,218000,28350,19600,86700,109000,215500,68800,88300,177500,129000,135000,239000,126500,25600,749000,99000,24900
22450,88900,180500,34100,82900,34000,86100,160500,51800,174000,62100,5610,376500,22800,88500,125500,34600,68800,3115,565000,37100,7070,392000,26100,8520,53800,47900,184500,101500,30850,208500,20750,78400,72800,17000,4940,53100,136000,43650,6505,5130,238500,35100,406000,128000,164000,11400,27400,108500,35450,35800,44800,324000,70800,29400,534000,1340000,24100,13900,23000,946000,26050,343000,287000,23550,231500,12450,80500,46050,12450,24600,17200,28800,3725,109000,12000,8100,80000,71400,51200,9540,184500,217500,28000,19850,85900,110000,210000,69600,83700,176000,126500,143000,234000,135000,25650,735000,97100,25050
22250,88700,182500,34400,83000,33800,84900,164000,51300,173500,63100,5690,375000,24300,89700,127500,34200,69400,3080,569000,36900,7160,394000,26150,8610,53400,46900,187000,101500,30650,210000,21050,80100,70200,16850,4960,51700,136500,44100,6640,5130,237000,35350,400000,131000,160000,11450,27200,108000,35600,35850,45000,329000,68500,29600,547000,1300000,24000,14100,23300,965000,26200,352000,297000,23250,242500,12450,79000,45700,12050,24350,17050,28300,3715,108000,12200,8150,81200,71100,52600,9660,183500,215500,27800,20000,85100,110000,204500,71400,79300,176000,128500,147000,236000,133500,26400,730000,95300,25150
