Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
114300,114400,105300,106000,116120,119210,123090,145146.67,155289.17,100510,105208.8,104045.6,147857.1,147594.72,148476.19,58.18,1562604,-8647.61,-8392.77,-6700,-17408.01,-0.9717,-0.8624,0.4,0.4606,62.71,51.69,0.4498,0.3822,
105500,109100,100000,100500,111080,117650,120715,143815,155030,126304,114229.6,107852,149814.3,148623.63,147704.06,56.98,1436300,-9493.83,-8612.98,-15800,-17086.41,-0.9833,-0.9229,0.4,0.4531,52.49,51.85,0.3848,0.3827,
99900,105400,98800,105000,108080,116260,118485,142783.33,154777.5,93028,116913.4,110591.5,150889.8,146454.63,147275.99,58.11,1529328,-9689.66,-8828.32,-16200,-16909.13,-0.8013,-0.8621,0.4,0.4464,44.47,50.37,0.3812,0.3824,
107000,112000,106000,110500,106880,114590,116885,141958.33,154501.67,129440,125902.8,105272.5,150839.95,144719.1,146577.83,69.65,1658768,-9293.92,-8921.44,-200,-13567.3,-0.625,-0.7435,0.4,0.4406,54.57,51.21,0.4984,0.4056,
113000,118500,111700,115300,107460,113670,116140,141128.33,154379.17,104748,110806,104684.3,144186.65,142691.3,145773.82,87.2,1763516,-8495.04,-8836.16,-4600,-11773.84,-0.4712,-0.6073,0.5,0.448,52.83,51.54,0.4609,0.4167,
115900,119200,114700,116100,109480,112800,116015,140415,154242.5,95193,109742.6,107475.7,134471.15,142337.92,145521.78,115,1858709,-7708.52,-8610.63,0,-9419.07,-0.4455,-0.5264,0.5,0.4545,53.03,51.83,0.5,0.4333,
115600,115900,107500,108300,111040,111060,115795,139500,154095,136345,111750.8,112990.2,127493.35,143026.72,144751.86,129.44,1722364,-7626.67,-8413.84,-10600,-9655.26,-0.6955,-0.611,0.4,0.4477,46.6,50.79,0.4128,0.4292,
109800,109800,106000,108200,111680,109880,115390,138636.67,153933.33,70168,107178.8,112046.1,116898.65,142236.83,144539.11,97.88,1652196,-7483.61,-8227.79,-19000,-11524.21,-0.6987,-0.6548,0.4,0.4418,37.05,48.04,0.3194,0.4073,
109900,111900,107300,110600,111700,109290,114860,137921.67,153824.17,93852,100061.2,112982,112704.05,140483.02,144612.37,90.78,1746048,-7094.78,-8001.19,-13900,-11999.37,-0.5725,-0.6137,0.5,0.449,35.64,45.56,0.3671,0.3992,
113400,115900,110600,112800,111200,109330,114965,137225,153663.33,81508,95413.2,103109.6,106529.5,138240.72,143618.83,118.18,1827556,-6533.8,-7707.71,-12000,-11999.49,-0.4928,-0.5532,0.6,0.4679,41.09,44.67,0.3893,0.3973,
112800,112800,107200,108100,109600,109540,114375,136435,153398.33,70865,90547.6,100145.1,102095.35,138067.22,142477.79,94.95,1756691,-6394.75,-7445.12,-17600,-13119.59,-0.6581,-0.6056,0.6,0.4844,35.41,42.81,0.3483,0.3875,
