Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
3745,3750,3430,3520,3791,3987.5,4409.5,4680.58,4480.67,13724811,13139424,11084189.3,7942472.4,8895296.38,9387698.75,50.39,115384913,-312.33,-219.81,-1340,-983.79,-0.9404,-0.8789,0.3,0.2908,24.8,25.18,0.151,0.2292
3520,3665,3470,3595,3741,3898.5,4351.5,4668.58,4472.67,9303110,10853093.8,11290756.8,7972611.2,8946822.02,9379400.2,64.52,124688023,-325.58,-240.96,-1255,-1038.03,-0.8907,-0.8848,0.4,0.3044,30.23,26.19,0.1839,0.2201
3600,3700,3520,3530,3663,3821,4286.25,4654,4465.42,6080432,9493108,11062574.2,8043645.4,8946686.67,9362394.19,56.18,118607591,-337.44,-260.26,-1265,-1083.43,-0.9265,-0.9056,0.4,0.3164,34.3,27.81,0.183,0.2127
3435,3790,3430,3660,3617,3768.5,4221,4640.42,4456.58,14349909,9772749.4,11764765.1,8611796.8,9031598.18,9376465.07,67.22,132957500,-332.52,-274.71,-1020,-1070.74,-0.8251,-0.8654,0.5,0.3393,41.81,30.61,0.2463,0.2194
3575,3895,3575,3770,3615,3720.5,4154,4627.33,4450.13,11214919,10934636.2,12198386,8918183.3,9083533.43,9397663.74,73.17,144172419,-316.1,-282.99,-765,-1009.59,-0.7236,-0.7945,0.5,0.3594,47.69,34.03,0.3063,0.2368
3745,3750,3615,3635,3638,3714.5,4089.25,4613.58,4443.33,9684429,10126559.8,11632991.9,9190952.25,9113109.15,9394339.64,69.49,134487990,-310.4,-288.47,-850,-977.67,-0.8075,-0.801,0.5,0.377,47.47,36.72,0.2937,0.2482
3640,3660,3490,3510,3621,3681,4021.75,4600.75,4435.13,6811449,9628227.6,10240660.7,9358720.05,9107101.12,9358798.85,67.4,127676541,-312.37,-293.25,-795,-941.14,-0.9171,-0.859,0.4,0.3799,48.47,39.07,0.3017,0.2589
3445,3615,3370,3475,3610,3636.5,3953,4590.25,4427.08,11564839,10725109,10109108.5,9753210.55,9207894.77,9383624.94,62.96,116111702,-313.14,-297.23,-710,-894.91,-0.8976,-0.8783,0.3,0.3699,47.7,40.79,0.3151,0.2701
3480,3700,3410,3675,3613,3615,3897,4580.25,4419.33,13398119,10534751,10153750.2,10188711.75,9295328.62,9395173.36,77.17,129509821,-294.23,-296.63,-575,-830.93,-0.672,-0.7752,0.4,0.3736,49.32,42.5,0.3601,0.2881
3605,3650,2860,3040,3467,3541,3815,4556.67,4403,13250961,10941959.4,10938297.8,10587111.6,9382002.98,9361822.77,72.17,116258860,-326.71,-302.64,-655,-795.74,-0.8506,-0.8129,0.4,0.3769,50.78,44.16,0.3466,0.2998
3100,3155,2020,2430,3226,3432,3709.75,4522.83,4384.63,16935388,12392151.2,11259355.5,11171772.4,9562778.6,9400207.63,65.91,99323472,-397.1,-321.53,-1415,-919.59,-0.7995,-0.8062,0.4,0.3798,53.96,46.12,0.2274,0.2853
2210,2755,2130,2630,3050,3335.5,3617,4490.33,4367.5,21611588,15352179,12490203.3,11890480.05,9771069.45,9500124.69,86.61,120935060,-431.76,-343.58,-1290,-993.68,-0.7017,-0.754,0.4,0.3823,44.58,45.81,0.2629,0.2808
2540,2860,2500,2590,2873,3241.5,3531.25,4455.25,4350.38,13904627,15820136.6,13272622.8,12167598.5,9912518.05,9502731.38,83,107030433,-457.19,-366.3,-1300,-1054.94,-0.696,-0.725,0.4,0.3846,43.13,45.27,0.2619,0.277
2600,2915,2590,2905,2719,3166,3467.25,4425.08,4335.79,19751869,17090886.6,13812818.8,12788791.95,10125138.17,9591275.24,103.56,126782302,-446.78,-382.4,-875,-1018.95,-0.528,-0.6265,0.4,0.3865,50.11,46.24,0.3509,0.2918
2930,3070,2805,3015,2714,3090.5,3405.5,4397.17,4322.79,15376902,17516074.8,14229017.1,13213701.55,10293471.58,9645150.47,110.32,142159204,-424.75,-390.87,-505,-916.16,-0.4693,-0.5479,0.4,0.3882,58.34,48.66,0.4093,0.3153
3025,3035,2830,2980,2824,3025,3369.75,4370.25,4308.13,11898612,16508719.6,14450435.4,13041713.65,10400679.53,9656338.46,113.43,130260592,-405.45,-393.79,-615,-855.93,-0.488,-0.518,0.4,0.3897,52.38,49.4,0.388,0.3299
3000,3300,2965,3270,2952,3001,3341,4347.83,4294.42,11988869,14584175.8,14968177.4,12604419.05,10442145.52,9630549.28,106.27,142249461,-362.57,-387.54,-260,-736.74,-0.3333,-0.4256,0.5,0.4034,53.69,50.26,0.4562,0.3551
3175,3375,3145,3240,3082,2977.5,3307,4323,4278,11726780,14148606.4,14984371.5,12546740,10491550.37,9564071.48,87.35,130522681,-327.24,-375.48,-420,-673.39,-0.3493,-0.3875,0.5,0.4155,52.58,50.72,0.4268,0.3695
3240,3325,3115,3285,3158,2938.5,3276.75,4297.58,4260.79,9176592,12033551,14562218.8,12357984.5,10537381.13,9541341.97,104.28,139699273,-292.23,-358.83,-485,-635.72,-0.2688,-0.3281,0.5,0.4261,46.3,49.84,0.4135,0.3783
3295,3615,3260,3390,3233,2973.5,3257.25,4272.67,4245.96,13323363,11622843.2,14569459,12753878.4,10634099.15,9512265.35,120.69,153022636,-253.1,-337.69,-245,-557.57,-0.1845,-0.2563,0.6,0.4478,53.4,50.55,0.4559,0.3938
3415,3530,3285,3285,3294,3059,3245.5,4239.92,4233.42,15464690,12336058.8,14422389.2,12840872.35,10548561.17,9532347.74,118.9,137557946,-227.94,-315.74,-225,-491.06,-0.247,-0.2517,0.6,0.4668,50.94,50.63,0.4592,0.4069
3310,3830,3310,3610,3362,3157,3246.25,4212.92,4223.38,21269950,14192275,14388225.4,13439214.35,10631646.07,9661243.78,129.1,158827896,-179.7,-288.53,135,-365.85,-0.1215,-0.1866,0.6,0.4835,59.99,52.5,0.5222,0.4299
3720,3720,3250,3375,3389,3235.5,3238.5,4185.33,4210.25,13513120,14549543,14349074.7,13810848.75,10648274.82,9713417.64,121.41,145314776,-158.6,-262.54,-300,-352.68,-0.2514,-0.219,0.6,0.498,52.59,52.52,0.4513,0.4342
3350,3440,3170,3345,3401,3279.5,3222.75,4155.25,4198.79,12386097,15191444,13612497.5,13712658.15,10679138.25,9754989.54,99.98,132928679,-142.66,-238.57,305,-221.14,-0.268,-0.2435,0.5,0.4983,52.68,52.55,0.5616,0.4597
3315,3360,3030,3090,3341,3287,3188.75,4121.92,4185.96,9575743,14441920,13032381.6,13630699.35,10716847.55,9704017.76,85.81,123352936,-148.89,-220.63,660,-44.91,-0.4353,-0.3394,0.4,0.486,53.75,52.79,0.6557,0.4989
3005,3105,2970,3060,3296,3295,3160,4086.08,4173.88,7047553,12758492.6,12547275.7,13498855.55,10639496.53,9639741.73,87.38,116305383,-154.46,-207.4,430,50.07,-0.5789,-0.4592,0.4,0.4753,56.72,53.58,0.6103,0.5212
3065,3185,2990,3000,3174,3268,3134.5,4055.5,4164.13,8815131,10267528.8,12229901.9,13599039.65,10499645.62,9594636.38,86.18,107490252,-161.85,-198.29,410,122.06,-0.6694,-0.5643,0.3,0.4533,55.98,54.06,0.6041,0.5377
3015,3320,2970,3285,3156,3272.5,3125,4030.42,4155.88,15115585,10588021.8,12568782.4,13776576.95,10584964.83,9642588.6,104.83,122605837,-143.07,-187.24,380,173.64,-0.5317,-0.548,0.4,0.4467,55.44,54.33,0.5979,0.5498
3300,3365,3120,3145,3116,3258.5,3098.5,4004.5,4148.33,13190042,10748810.8,12970127.4,13766173.1,10174211.53,9674943.18,86.4,109415795,-137.88,-177.37,130,164.92,-0.685,-0.6165,0.3,0.4283,55.18,54.5,0.533,0.5464
3150,3225,3080,3080,3114,3227.5,3100.5,3971.83,4139.5,9189843,10671630.8,12556775.4,13563117.2,10161793.03,9655861.23,88.84,100225952,-137.44,-169.39,100,151.93,-0.8671,-0.7418,0.2,0.3998,55.8,54.76,0.525,0.5421
3100,3670,3070,3350,3172,3234,3146.5,3940.33,4133.58,30643954,15390911,14074701.8,14248545.5,10521262.43,9835620.9,124.9,130869906,-113.98,-158.3,80,137.55,-0.5581,-0.65,0.3,0.3873,60.36,55.88,0.5202,0.5378
3410,3665,3380,3580,3288,3231,3194,3908.5,4128.63,33034373,20234759.4,15251144.1,14819684.75,10913062.12,10027049.7,133.91,163904279,-75.96,-141.84,340,178.04,-0.2907,-0.4703,0.3,0.3764,64.76,57.66,0.578,0.5458
3620,3625,3240,3325,3296,3226,3230.75,3874.58,4120.67,15147787,20241199.8,15414610.8,14881842.75,10962054.82,10020101.43,132.61,148756492,-65.65,-126.6,40,150.43,-0.5872,-0.5288,0.3,0.3669,62.84,58.69,0.5084,0.5383
3325,3420,3260,3320,3331,3223.5,3251.5,3841.42,4112.33,7482644,19099720.2,14924265.5,14268381.5,10990823.35,9981230.58,110.7,141273848,-57.22,-112.72,-70,106.34,-0.593,-0.5609,0.3,0.3585,58.25,58.6,0.4847,0.5276
