Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
42450,42900,41500,42300,43150,43725,43860,38865,33490.42,569282,540788,573093.5,552251.45,646921.08,593133.99,66.85,23980987,816.86,1300.56,-1250,-227.89,-0.8202,-0.7901,0.3,0.4711,37.5,46.32,0.4494,0.4949
41150,41900,39750,41200,42570,43530,43692.5,39060,33571.67,1092949,642734,654421.1,578344.2,658900.77,596811.18,49.97,22888038,585.79,1157.61,-2600,-702.31,-0.7661,-0.7781,0.2,0.4372,28.83,42.82,0.4015,0.4762
41600,43000,41500,42400,42320,43210,43517.5,39273.33,33659.58,718745,694111.4,655059.8,576284.65,666599.05,600376.13,49.44,23606783,493.8,1024.85,-50,-571.85,-0.5726,-0.6754,0.2,0.4075,37.38,41.73,0.4981,0.4806
42500,43250,42000,42900,42230,43095,43412.5,39469.17,33754.17,538119,701018.2,655196.8,564514.6,660452.18,602973.67,62.71,24144902,455.99,911.07,-350,-527.48,-0.4919,-0.5836,0.3,0.3941,38.78,41.14,0.4863,0.4817
42850,42900,42150,42300,42220,42985,43322.5,39644.17,33856.67,309510,645721,620703.6,552908.2,655044.65,600713.2,64.88,23835392,373.3,803.52,-700,-561.99,-0.5887,-0.5862,0.3,0.3823,35.09,39.93,0.4733,0.48
41900,42200,41450,41600,42080,42615,43185,39807.5,33950.83,298905,591645.6,566216.8,545493,653507.13,599535.78,55.73,23536487,248.43,692.5,-1550,-759.59,-0.7016,-0.6439,0.2,0.3595,33.89,38.72,0.4432,0.4727
41800,43150,41700,42950,42430,42500,43155,39982.5,34052.08,459433,464942.4,553838.2,543579,653233.58,601038.73,67.05,23995920,255.45,605.09,-2650,-1137.67,-0.453,-0.5484,0.3,0.3521,31.56,37.29,0.3944,0.457
42950,43250,42000,42200,42390,42355,43075,40135.83,34148.33,364298,394053,544082.2,538862.85,648749.22,602122.38,56.82,23631622,198.21,523.71,-1850,-1280.14,-0.5776,-0.563,0.3,0.3456,32.34,36.3,0.4213,0.4499
41950,42550,41750,42550,42320,42275,43080,40270.83,34256.25,227629,331955,516486.6,519441.45,641138.72,598166.99,66.05,23859251,179.03,454.78,-850,-1194.11,-0.5172,-0.5401,0.4,0.3524,34.24,35.89,0.4629,0.4525
42550,42550,41050,41550,42170,42195,42995,40376.67,34352.08,539444,377941.8,511831.4,528776.7,640771.67,597042.09,55.62,23319807,82.19,380.26,-3750,-1705.29,-0.6842,-0.6122,0.4,0.3583,23.68,33.45,0.3223,0.4264
