Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
280000,-0.4,99.47,-2500,0.3913,17.64,0.2761,-0.06,-692.31,-694507,278126.37,2607.14,33.26
280000,-0.4,99.29,-2000,0.4091,18.3,0.2976,-0.06,-618.53,-694507,278642.86,2535.71,34.43
280000,-0.4,99.82,-1500,0.4286,7.73,0.2958,-0.06,-553.68,-694507,279137.36,2535.71,33.97
281000,-0.3,100.36,-1000,0.4545,104.72,0.32,-0.05,-416.78,-611698,280054.95,2571.43,36.25
283500,-0.0952,101.43,3000,0.625,236.23,0.3676,-0.04,-105.35,-437487,281456.04,2678.57,48.04
283500,-0.0952,102.35,3500,0.6522,193.13,0.409,-0.03,139.85,-437487,282670.33,2714.29,55.96
282500,-0.1905,101.8,3000,0.625,127.17,0.4448,-0.02,250.6,-523784,283395.6,2750,54.11
290000,-0.0303,103.94,13000,0.8824,249.58,0.5021,0,932.8,-147180,285725.27,2678.57,75.47
292500,-0.2,105.22,15000,0.8947,248.37,0.5575,0.03,1656.08,212648,288428.57,2892.86,86.77
288500,-0.4211,103.41,9500,0.7209,141.23,0.5824,0.05,1884.8,39325,289758.24,3071.43,77.61
289000,-0.3947,103.4,11000,0.7619,97,0.6039,0.07,2082.4,94922,290741.76,2964.29,73.38
291500,-0.2778,104.29,12500,0.7778,100.16,0.6273,0.1,2412.91,166753,292252.75,3071.43,76.49
290500,-0.3333,103.75,11000,0.7391,85.2,0.6487,0.11,2564.59,114795,293153.85,3071.43,76.09
290000,-0.3611,103.57,10500,0.7234,64.54,0.6572,0.13,2614.32,68025,293549.45,3107.14,74.01
289500,-0.3889,103.39,9500,0.7021,47.19,0.6538,0.14,2583.6,8755,293543.96,3071.43,70.47
290000,-0.3611,103.2,10000,0.7083,53.78,0.6577,0.14,2569.98,101989,293368.13,3142.86,73.43
288500,-0.4706,101.76,8500,0.6667,26.52,0.6394,0.15,2410.35,-8760,292434.07,3214.29,71.03
289000,-0.4687,101.94,8000,0.66,-3.34,0.5944,0.15,2297.71,116615,291538.46,3250,65.06
288500,-0.5333,102.12,5000,0.6087,-6.86,0.5603,0.14,2143.39,11997,290675.82,3107.14,63.79
288500,-0.5714,99.48,5000,0.6087,-13.33,0.5308,0.13,1998.06,11997,289648.35,3000,63.71
287500,-0.75,98.29,5000,0.6087,-127.06,0.4834,0.13,1781.65,-265434,287994.51,3000,57.6
307500,-0.0455,106.59,17500,0.7465,378.87,0.5245,0.14,3187.24,396395,293208.79,3928.57,63.39
303500,-0.2273,105.02,11000,0.6486,259.16,0.5601,0.16,3933.07,132303,297142.86,3821.43,61.97
299000,-0.4318,102.57,10500,0.64,132.45,0.549,0.18,4113.62,-108252,298725.27,4035.71,59.91
301500,-0.3182,103.79,12500,0.6582,101.89,0.5394,0.2,4407.62,49754,300763.74,4321.43,61.39
299000,-0.4318,103.1,7500,0.5949,73.37,0.531,0.22,4388.31,-50559,302115.38,4321.43,57.36
298500,-0.4545,103.11,8000,0.6026,46.24,0.5027,0.23,4283.28,-138077,302901.1,4321.43,54.17
