Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal
84681,85075,83500,83893,84287.2,84484.2,88225.95,78024.82,39012.41,27255,35425.2,41322.1,46863.65,46950.35,23475.18,81.23,355821,-1429.2,-824.58,-8272,-7966.08,-0.7667,-0.7505,0.5,0.363,37,39.91,0.2666,0.2774
83893,86257,83893,85863,84759.8,84484.2,87812.4,79455.87,39727.93,35901,32621.2,40940,46444.95,47548.7,23774.35,79.61,391722,-1302.38,-920.14,-6695,-7711.87,-0.5999,-0.6752,0.6,0.3926,42.26,40.38,0.3265,0.2872
85863,85863,84287,84681,84917.4,84247.9,87438.2,80867.22,40433.61,38902,34265.4,38213.3,44639.85,48197.07,24098.53,85.59,352820,-1282.46,-992.6,-5908,-7351.09,-0.6087,-0.642,0.5,0.406,42.59,40.82,0.3404,0.2978
84287,85075,83106,83106,84602.4,84051,86867.1,82252.32,41126.16,40521,35792.6,37706.1,41939.5,48872.42,24436.21,60.81,312299,-1377.88,-1069.66,-6302,-7141.27,-0.7726,-0.7073,0.5,0.4178,44.3,41.52,0.3333,0.3049
83500,87044,83500,85075,84523.6,84247.9,86394.45,83670.23,41835.12,158926,60301,49495.9,45521.45,51521.18,25760.59,90.49,471225,-1279.87,-1111.7,-1575,-6028.02,-0.4444,-0.5759,0.6,0.4406,59.96,45.2,0.4565,0.3353
84681,85469,81924,82318,84208.6,84247.9,85862.75,85042.2,42521.1,55005,65851,50638.1,46307.55,52437.93,26218.97,87.61,416220,-1408.42,-1171.04,-3545,-5531.42,-0.8333,-0.7046,0.6,0.4605,58.77,47.92,0.4118,0.3506
81924,83500,81136,82318,83499.6,84129.7,85370.4,86414.17,43207.08,53854,69441.6,51031.4,47971.15,53335.5,26667.75,91.88,416220,-1493.09,-1235.45,-4726,-5370.33,-0.8235,-0.764,0.5,0.4654,50.21,48.38,0.375,0.3555
81924,82712,80742,81924,82948.2,83932.8,84838.7,86401.03,43889.78,36340,68929.2,51597.3,48707.4,53312.72,26970.58,81.62,379880,-1573.84,-1303.13,-3151,-4926.47,-0.8124,-0.7882,0.4,0.4573,51.03,48.91,0.4091,0.3662
81924,82712,79561,79561,82239.2,83420.8,84287.3,86296,44552.79,48960,70617,53204.8,49129.25,52493.87,27378.58,80.36,330920,-1807.67,-1404.04,-3545,-4650.17,-1,-0.8941,0.3,0.4376,50.58,49.24,0.4,0.3729
77670,79561,77670,79167,81057.6,82790.6,83775.25,86236.92,45212.52,51532,49138.2,54719.6,48712.65,52521.17,27808.02,81.61,279388,-2001.71,-1523.57,-3151,-4350.34,-0.8403,-0.8672,0.2,0.4079,50.19,49.43,0.4091,0.3802
79561,81136,78773,80742,80742.4,82475.5,83479.85,86197.52,45885.37,24418,43020.8,54435.9,47879,52050.43,28011.5,93.31,303806,-2005.27,-1619.91,-2758,-4031.87,-0.6723,-0.7697,0.3,0.3944,48.24,49.19,0.4222,0.3886
80742,83500,80742,81924,80663.6,82081.6,83282.9,86158.13,46568.07,57101,43670.2,56555.9,48747.95,52172.38,28487.34,113.97,360907,-1890.93,-1674.12,-1969,-3619.3,-0.5462,-0.658,0.3,0.3826,50.12,49.38,0.4468,0.4002
82712,82712,80349,80349,80348.6,81648.4,82948.15,86105.62,47237.64,40457,44493.6,56711.4,47462.35,52120.08,28824.48,91.34,320450,-1905.43,-1720.38,-4332,-3761.84,-0.7142,-0.6861,0.3,0.3723,44.95,48.49,0.3878,0.3977
80349,82712,78773,82318,80900,81569.6,82810.3,86072.8,47923.63,49631,44627.8,57622.4,47664.25,52365.78,29238.08,111.6,370081,-1738.01,-1723.9,-3151,-3639.67,-0.5042,-0.5951,0.4,0.3757,45.82,47.96,0.4231,0.4028
81530,83500,79955,81924,81451.4,81254.5,82751.2,86039.98,48606.33,39889,42299.2,45718.7,47607.3,52619.13,29570.48,111.88,330192,-1618.46,-1702.81,-1969,-3305.54,-0.5462,-0.5707,0.3,0.3663,50.47,48.46,0.449,0.412
81924,83106,78379,78694,81041.8,80892.1,82570,86005.85,49262.11,35883,44592.2,43806.5,47222.3,52054.6,29869.51,113.83,294309,-1764.01,-1715.05,-7169,-4078.23,-0.8908,-0.7307,0.3,0.358,45.55,47.88,0.3256,0.3948
79167,79561,77119,78616,80380.2,80521.9,82325.8,85970.42,49917.24,40708,41313.6,42491.9,46761.65,52095.93,30208.74,93.88,253601,-1864.17,-1744.88,-6065,-4475.58,-0.8492,-0.7899,0.3,0.3507,45.64,47.43,0.3441,0.3846
77985,78694,77828,77985,79907.4,80128,82030.4,85944.15,50567.12,18460,36914.2,40703.9,46150.6,51402.22,30362.58,84.29,235141,-1971.74,-1790.25,-5121,-4604.67,-0.9127,-0.8513,0.3,0.3444,47.17,47.38,0.3617,0.38
77985,79167,77670,78379,79119.6,80009.8,81715.3,85904.77,51220.28,19596,30907.2,37767.5,45486.15,51480.93,30525.88,81.64,254737,-2002.11,-1832.62,-6696,-5022.93,-0.8491,-0.8502,0.4,0.3514,33.46,44.59,0.3023,0.3645
78379,80742,78300,80742,78883.2,80167.3,81478.95,85904.77,51893.13,27345,28398.4,35348.8,45034.2,51549.7,30753.75,79.84,282082,-1814.59,-1829.02,-1576,-4333.55,-0.4322,-0.6412,0.5,0.3699,40.26,43.73,0.4524,0.3821
80349,80742,78773,79955,79135.4,80088.6,81282.05,85924.47,52559.42,32132,27648.2,36120.2,45278.05,51294.52,31021.52,79.07,249950,-1709.78,-1805.17,-2363,-3939.44,-0.5556,-0.5984,0.4,0.3737,42.05,43.39,0.4318,0.392
79561,80349,78616,78773,79166.8,79773.5,80927.55,85917.9,53215.86,52255,29957.6,35635.6,46095.75,51423.1,31456.98,65.23,197695,-1702.46,-1784.63,-3151,-3781.75,-0.7408,-0.6696,0.3,0.3645,40.92,42.9,0.413,0.3962
78064,79955,77591,79561,79482,79694.7,80671.55,85891.65,53878.87,43287,34923,35918.6,46315,51139.27,31817.7,78.45,240982,-1614.47,-1750.6,0,-3025.4,-0.6173,-0.6434,0.4,0.3689,41.42,42.6,0.5,0.417
79561,79955,78537,79167,79639.6,79379.6,80474.6,85812.88,54538.59,22537,35511.2,33209.2,45415.8,50001.43,32005.51,81.27,218445,-1558.56,-1712.19,0,-2420.32,-0.679,-0.6612,0.3,0.3603,48.18,43.72,0.5,0.4336
79167,80349,78143,78773,79245.8,79064.5,80159.5,85740.67,55195.03,42043,38450.8,33424.6,39571.65,49701.47,32355.87,45.72,176402,-1528.43,-1675.44,-1969,-2330.06,-0.7408,-0.701,0.3,0.3528,41.91,43.36,0.4359,0.434
78773,79561,78222,78773,79009.4,79072.4,79982.25,85661.88,55851.48,30868,38198,32923.1,38364.8,49623.63,32613.1,52.38,176402,-1487.4,-1637.83,-3151,-2494.24,-0.7408,-0.7209,0.3,0.3462,32.43,41.17,0.3889,0.425
78379,78773,78143,78222,78899.2,79033,79777.45,85554.23,56503.33,17501,31247.2,30602.4,36547.15,49307.4,32758.94,47.92,158901,-1482.26,-1606.72,-2127,-2420.8,-0.8271,-0.774,0.3,0.3404,34.08,39.75,0.4192,0.4238
78143,78537,77355,77434,78473.8,78977.9,79552.95,85420.32,57148.61,22723,27134.4,31028.7,35866.3,49131.83,32948.3,49.28,136178,-1524.2,-1590.21,-4884,-2913.44,-0.9506,-0.8623,0.3,0.3353,24.84,36.77,0.2961,0.3983
77749,77907,75780,76646,77969.6,78804.6,79407.2,85233.88,57787.33,44885,31604,33557.6,35662.55,48810.32,33322.34,49.7,91293,-1602.55,-1592.68,-5278,-3386.35,-0.8818,-0.8721,0.2,0.3184,15.52,32.52,0.2866,0.376
76410,76804,75543,76095,77434,78339.9,79253.6,85071.08,58421.45,33704,29936.2,34193.5,34771.15,48780.57,33603.21,51.64,57589,-1689.63,-1612.07,-2599,-3228.88,-0.8938,-0.8829,0.1,0.2911,15.65,29.15,0.3659,0.3739
76016,77513,75622,76095,76898.4,77953.9,79021.25,84855.77,59055.58,45027,32768,35483,35801.6,48195.95,33978.43,48.82,57589,-1738.6,-1637.38,-2521,-3087.3,-0.8938,-0.8884,0.1,0.2672,25.26,28.37,0.3688,0.3729
76883,77355,76095,77198,76693.6,77796.4,78784.95,84665.4,59698.89,26092,34486.2,32866.7,34251.15,48042.72,34195.87,42.38,83681,-1669.16,-1643.73,-787,-2627.24,-0.6817,-0.785,0.2,0.2588,30.43,28.78,0.461,0.3905
77907,79167,77434,78616,76930,77701.9,78698.3,84511.8,60354.03,25349,35011.4,31072.9,33495.75,47204.63,34407.11,52.02,109030,-1482.62,-1611.51,237,-2054.39,-0.4089,-0.597,0.2,0.2515,31.3,29.28,0.5107,0.4146
79561,79955,77907,78773,77355.4,77662.5,78521.05,84341.12,61010.47,32983,32631,32117.5,32663.35,46555.87,34681.97,48.24,142013,-1307.05,-1550.62,-1969,-2037.32,-0.3787,-0.4879,0.3,0.2575,32.07,29.84,0.3894,0.4095
